industry,stockID,ticker,name,link
Fuel & Power,104,DESCO,Dhaka Electric Supply Company Limited,http://lankabd.com/dse/stock-market/DESCO/dhaka-electric-supply-company-limited/financial-statements?companyId=104&stockId=104
Engineering,636,KDSALTD,KDS Accessories Limited,http://lankabd.com/dse/stock-market/KDSALTD/kds-accessories-limited/financial-statements?companyId=361&stockId=636
Ceramics Sector,12,STANCERAM,Standard Ceramic Limited,http://lankabd.com/dse/stock-market/STANCERAM/standard-ceramic-limited/financial-statements?companyId=12&stockId=12
Textile,298,ARGONDENIM,Argon Denims Limited,http://lankabd.com/dse/stock-market/ARGONDENIM/argon-denims-limited/financial-statements?companyId=304&stockId=298
Insurance,202,GREENDELT,Green Delta Insurance Company Limited,http://lankabd.com/dse/stock-market/GREENDELT/green-delta-insurance-company-limited/financial-statements?companyId=202&stockId=202
Engineering,60,QSMDRYCELL,Quasem Drycells Limited,http://lankabd.com/dse/stock-market/QSMDRYCELL/quasem-drycells-limited/financial-statements?companyId=60&stockId=60
IT Sector,639,ITC,Information Technology Consultants Limited,http://lankabd.com/dse/stock-market/ITC/information-technology-consultants-limited/financial-statements?companyId=364&stockId=639
Insurance,301,SUNLIFEINS,Sunlife Insurance Company Limited,http://lankabd.com/dse/stock-market/SUNLIFEINS/sunlife-insurance-company-limited/financial-statements?companyId=315&stockId=301
Textile,182,SONARGAON,Sonargaon Textiles Limited,http://lankabd.com/dse/stock-market/SONARGAON/sonargaon-textiles-limited/financial-statements?companyId=182&stockId=182
Engineering,55,MONNOSTAF,Monno Jute Stafflers Limited,http://lankabd.com/dse/stock-market/MONNOSTAF/monno-jute-stafflers-limited/financial-statements?companyId=55&stockId=55
Bank,34,RUPALIBANK,Rupali Bank Limited,http://lankabd.com/dse/stock-market/RUPALIBANK/rupali-bank-limited/financial-statements?companyId=34&stockId=34
Textile,599,MHSML,Mozaffar Hossain Spinning Mills Limited,http://lankabd.com/dse/stock-market/MHSML/mozaffar-hossain-spinning-mills-limited/financial-statements?companyId=331&stockId=599
Engineering,585,BBS,Bangladesh Building System Ltd.,http://lankabd.com/dse/stock-market/BBS/bangladesh-building-system-ltd./financial-statements?companyId=327&stockId=585
Bank,32,PRIMEBANK,Prime Bank Limited,http://lankabd.com/dse/stock-market/PRIMEBANK/prime-bank-limited/financial-statements?companyId=32&stockId=32
Bank,37,SOUTHEASTB,Southeast Bank Limited,http://lankabd.com/dse/stock-market/SOUTHEASTB/southeast-bank-limited/financial-statements?companyId=37&stockId=37
Paper & Printing,614,KPPL,Khulna Printing & Packaging Limited,http://lankabd.com/dse/stock-market/KPPL/khulna-printing-&-packaging-limited/financial-statements?companyId=339&stockId=614
Textile,164,APEXSPINN,Apex Spinning & Knitting Mills Limited,http://lankabd.com/dse/stock-market/APEXSPINN/apex-spinning-&-knitting-mills-limited/financial-statements?companyId=164&stockId=164
Engineering,44,ATLASBANG,Atlas Bangladesh Limited,http://lankabd.com/dse/stock-market/ATLASBANG/atlas-bangladesh-limited/financial-statements?companyId=44&stockId=44
Mutual Funds,270,TRUSTB1MF,Trust Bank 1st Mutual Fund,http://lankabd.com/dse/stock-market/TRUSTB1MF/trust-bank-1st-mutual-fund/financial-statements?companyId=270&stockId=270
Mutual Funds,267,POPULAR1MF,Popular Life First Mutual Fund,http://lankabd.com/dse/stock-market/POPULAR1MF/popular-life-first-mutual-fund/financial-statements?companyId=267&stockId=267
Services & Real Estate,154,SAPORTL,Summit Alliance Port Limited,http://lankabd.com/dse/stock-market/SAPORTL/summit-alliance-port-limited/financial-statements?companyId=154&stockId=154
Corporate Bond,235,IBBLPBOND,IBBL Mudaraba Perpetual Bond,http://lankabd.com/dse/stock-market/IBBLPBOND/ibbl-mudaraba-perpetual-bond/financial-statements?companyId=235&stockId=235
Jute,120,SONALIANSH,Sonali Aansh Industries Limited,http://lankabd.com/dse/stock-market/SONALIANSH/sonali-aansh-industries-limited/financial-statements?companyId=120&stockId=120
Tannery Industries,155,APEXFOOT,Apex Footwear Limited,http://lankabd.com/dse/stock-market/APEXFOOT/apex-footwear-limited/financial-statements?companyId=155&stockId=155
Insurance,199,FAREASTLIF,Fareast Islami Life Insurance Company Limited,http://lankabd.com/dse/stock-market/FAREASTLIF/fareast-islami-life-insurance-company-limited/financial-statements?companyId=199&stockId=199
Food & Allied,98,RAHIMAFOOD,Rahima Food Limited,http://lankabd.com/dse/stock-market/RAHIMAFOOD/rahima-food-limited/financial-statements?companyId=98&stockId=98
Engineering,62,RENWICKJA,Bd),http://lankabd.com/dse/stock-market/RENWICKJA/renwick-jajneswar-&-company-(bd)/financial-statements?companyId=62&stockId=62
Financial Institutions,68,DBH,Delta Brac Housing Finance Corp. Limited,http://lankabd.com/dse/stock-market/DBH/delta-brac-housing-finance-corp.-limited/financial-statements?companyId=68&stockId=68
Bank,14,BANKASIA,Bank Asia Limited,http://lankabd.com/dse/stock-market/BANKASIA/bank-asia-limited/financial-statements?companyId=14&stockId=14
Bank,13,ALARABANK,Al-Arafah Islami Bank Limited,http://lankabd.com/dse/stock-market/ALARABANK/al-arafah-islami-bank-limited/financial-statements?companyId=13&stockId=13
Ceramics Sector,9,MONNOCERA,Monno Ceramic Industries Limited,http://lankabd.com/dse/stock-market/MONNOCERA/monno-ceramic-industries-limited/financial-statements?companyId=9&stockId=9
Insurance,212,PEOPLESINS,Peoples Insurance Company Limited,http://lankabd.com/dse/stock-market/PEOPLESINS/peoples-insurance-company-limited/financial-statements?companyId=212&stockId=212
Fuel & Power,272,MJLBD,MJL Bangladesh Limited,http://lankabd.com/dse/stock-market/MJLBD/mjl-bangladesh-limited/financial-statements?companyId=285&stockId=272
Tannery Industries,159,SAMATALETH,Samata Leather Complex Limited,http://lankabd.com/dse/stock-market/SAMATALETH/samata-leather-complex-limited/financial-statements?companyId=159&stockId=159
Ceramics Sector,11,SPCERAMICS,Shinepukur Ceramics Limited,http://lankabd.com/dse/stock-market/SPCERAMICS/shinepukur-ceramics-limited/financial-statements?companyId=11&stockId=11
Fuel & Power,631,UPGDCL,United Power Generation & Distribution Company Limited,http://lankabd.com/dse/stock-market/UPGDCL/united-power-generation-&-distribution-company-limited/financial-statements?companyId=355&stockId=631
Cement,4,HEIDELBCEM,Heidelberg Cement Bangladesh Limited,http://lankabd.com/dse/stock-market/HEIDELBCEM/heidelberg-cement-bangladesh-limited/financial-statements?companyId=4&stockId=4
Engineering,45,AZIZPIPES ,Aziz Pipes Limited,http://lankabd.com/dse/stock-market/AZIZPIPES/aziz-pipes-limited/financial-statements?companyId=45&stockId=45
Textile,642,DSSL,Dragon Sweater and Spinning Limited,http://lankabd.com/dse/stock-market/DSSL/dragon-sweater-and-spinning-limited/financial-statements?companyId=367&stockId=642
Insurance,208,NATLIFEINS,National Life Insurance Company Limited,http://lankabd.com/dse/stock-market/NATLIFEINS/national-life-insurance-company-limited/financial-statements?companyId=208&stockId=208
Pharmaceuticals & Chemicals,139,IBNSINA,The Ibn Sina Pharmaceutical Industry Limited,http://lankabd.com/dse/stock-market/IBNSINA/the-ibn-sina-pharmaceutical-industry-limited/financial-statements?companyId=139&stockId=139
Pharmaceuticals & Chemicals,142,KOHINOOR,Kohinoor Chemicals Limited,http://lankabd.com/dse/stock-market/KOHINOOR/kohinoor-chemicals-limited/financial-statements?companyId=142&stockId=142
Pharmaceuticals & Chemicals,565,JMISMDL,JMI Syringes & Medical Devices Ltd,http://lankabd.com/dse/stock-market/JMISMDL/jmi-syringes-&-medical-devices-ltd/financial-statements?companyId=325&stockId=565
Telecommunication,160,GP,Grameenphone Limited,http://lankabd.com/dse/stock-market/GP/grameenphone-limited/financial-statements?companyId=160&stockId=160
Cement,6,MEGHNACEM,Meghna Cement Mills Limited,http://lankabd.com/dse/stock-market/MEGHNACEM/meghna-cement-mills-limited/financial-statements?companyId=6&stockId=6
Miscellaneous,121,ARAMIT,Aramit Limited,http://lankabd.com/dse/stock-market/ARAMIT/aramit-limited/financial-statements?companyId=121&stockId=121
Miscellaneous,129,USMANIAGL,Usmania Glass Sheet Factory Limited,http://lankabd.com/dse/stock-market/USMANIAGL/usmania-glass-sheet-factory-limited/financial-statements?companyId=129&stockId=129
Engineering,632,BSRMLTD,Bangladesh Steel Re-Rolling Mills Limited,http://lankabd.com/dse/stock-market/BSRMLTD/bangladesh-steel-re-rolling-mills-limited/financial-statements?companyId=356&stockId=632
Mutual Funds,649,VAMLRBBF,Vanguard AML Rupali Bank Balanced Fund,http://lankabd.com/dse/stock-market/VAMLRBBF/vanguard-aml-rupali-bank-balanced-fund/financial-statements?companyId=373&stockId=649
Engineering,47,BDLAMPS,Bangladesh Lamps Limited,http://lankabd.com/dse/stock-market/BDLAMPS/bangladesh-lamps-limited/financial-statements?companyId=47&stockId=47
Pharmaceuticals & Chemicals,145,ORIONINFU,Orion Infusion Limited,http://lankabd.com/dse/stock-market/ORIONINFU/orion-infusion-limited/financial-statements?companyId=145&stockId=145
Pharmaceuticals & Chemicals,137,BXSYNTH,Beximco Synthetics Limited,http://lankabd.com/dse/stock-market/BXSYNTH/beximco-synthetics-limited/financial-statements?companyId=137&stockId=137
Food & Allied,90,BEACHHATCH,Beach Hatchery Limited,http://lankabd.com/dse/stock-market/BEACHHATCH/beach-hatchery-limited/financial-statements?companyId=90&stockId=90
Bank,18,DUTCHBANGL,Dutch-Bangla Bank Limited,http://lankabd.com/dse/stock-market/DUTCHBANGL/dutch-bangla-bank-limited/financial-statements?companyId=18&stockId=18
Textile,183,SQUARETEXT,Square Textile Limited,http://lankabd.com/dse/stock-market/SQUARETEXT/square-textile-limited/financial-statements?companyId=183&stockId=183
Textile,174,METROSPIN,Metro Spinning Limited,http://lankabd.com/dse/stock-market/METROSPIN/metro-spinning-limited/financial-statements?companyId=174&stockId=174
Insurance,215,POPULARLIF,Popular Life Insurance Co. Limited,http://lankabd.com/dse/stock-market/POPULARLIF/popular-life-insurance-co.-limited/financial-statements?companyId=215&stockId=215
Pharmaceuticals & Chemicals,148,RENATA,Renata Limited,http://lankabd.com/dse/stock-market/RENATA/renata-limited/financial-statements?companyId=148&stockId=148
Tannery Industries,158,LEGACYFOOT,Legacy Footwear Limited,http://lankabd.com/dse/stock-market/LEGACYFOOT/legacy-footwear-limited/financial-statements?companyId=158&stockId=158
Textile,175,MITHUNKNIT,Mithun Knitting and Dyeing Limited,http://lankabd.com/dse/stock-market/MITHUNKNIT/mithun-knitting-and-dyeing-limited/financial-statements?companyId=175&stockId=175
Pharmaceuticals & Chemicals,147,RECKITTBEN,Reckitt Benckiser(Bd.)Limited,http://lankabd.com/dse/stock-market/RECKITTBEN/reckitt-benckiser(bd.)limited/financial-statements?companyId=147&stockId=147
Food & Allied,89,BATBC,British American Tobacco Bangladesh Company,http://lankabd.com/dse/stock-market/BATBC/british-american-tobacco-bangladesh-company/financial-statements?companyId=89&stockId=89
Mutual Funds,563,ICBSONALI1,ICB AMCL Sonali Bank Limited 1st Mutual Fund,http://lankabd.com/dse/stock-market/ICBSONALI1/icb-amcl-sonali-bank-limited-1st-mutual-fund/financial-statements?companyId=324&stockId=563
Food & Allied,86,AMCL(PRAN),Agricultural Marketing Co Ltd.,http://lankabd.com/dse/stock-market/AMCL(PRAN)/agricultural-marketing-co-ltd./financial-statements?companyId=86&stockId=86
Mutual Funds,254,GREENDELMF,Green Delta Mutual Fund,http://lankabd.com/dse/stock-market/GREENDELMF/green-delta-mutual-fund/financial-statements?companyId=254&stockId=254
Mutual Funds,630,ATCSLGF,Asian Tiger Sandhani Life Growth Fund,http://lankabd.com/dse/stock-market/ATCSLGF/asian-tiger-sandhani-life-growth-fund/financial-statements?companyId=354&stockId=630
Fuel & Power,107,KPCL,Khulna Power Company Limited,http://lankabd.com/dse/stock-market/KPCL/khulna-power-company-limited/financial-statements?companyId=107&stockId=107
Mutual Funds,256,ICB2NDNRB,ICB AMCL 2nd NRB Mutual Fund,http://lankabd.com/dse/stock-market/ICB2NDNRB/icb-amcl-2nd-nrb-mutual-fund/financial-statements?companyId=256&stockId=256
Mutual Funds,293,NLI1STMF,NLI FIRST MUTUAL FUND,http://lankabd.com/dse/stock-market/NLI1STMF/nli-first-mutual-fund/financial-statements?companyId=309&stockId=293
Ceramics Sector,8,FUWANGCER,Fu-Wang Ceramic Limited,http://lankabd.com/dse/stock-market/FUWANGCER/fu-wang-ceramic-limited/financial-statements?companyId=8&stockId=8
Mutual Funds,271,RELIANCE1,Reliance One the 1st scheme of Reliance Insurance Mutual Fund,http://lankabd.com/dse/stock-market/RELIANCE1/reliance-one-the-1st-scheme-of-reliance-insurance-mutual-fund/financial-statements?companyId=271&stockId=271
Textile,564,FAMILYTEX,BD) Limited,http://lankabd.com/dse/stock-market/FAMILYTEX/familytex-(bd)-limited/financial-statements?companyId=321&stockId=564
Pharmaceuticals & Chemicals,138,GLAXOSMITH,Glaxo SmithKline PLC,http://lankabd.com/dse/stock-market/GLAXOSMITH/glaxo-smithkline-plc/financial-statements?companyId=138&stockId=138
Engineering,51,ECABLES,Eastern Cables Limited,http://lankabd.com/dse/stock-market/ECABLES/eastern-cables-limited/financial-statements?companyId=51&stockId=51
IT Sector,114,BDCOM,BDCOM Online Limited,http://lankabd.com/dse/stock-market/BDCOM/bdcom-online-limited/financial-statements?companyId=114&stockId=114
Pharmaceuticals & Chemicals,144,MARICO,Marico Bangladesh Limited,http://lankabd.com/dse/stock-market/MARICO/marico-bangladesh-limited/financial-statements?companyId=144&stockId=144
Pharmaceuticals & Chemicals,325,ORIONPHARM,Orion Pharma Limited,http://lankabd.com/dse/stock-market/ORIONPHARM/orion-pharma-limited/financial-statements?companyId=318&stockId=325
Telecommunication,279,BSCCL,Bangladesh Submarine Cable Company Limited,http://lankabd.com/dse/stock-market/BSCCL/bangladesh-submarine-cable-company-limited--/financial-statements?companyId=292&stockId=279
Bank,1,ABBANK,AB Bank Limited,http://lankabd.com/dse/stock-market/ABBANK/ab-bank-limited/financial-statements?companyId=1&stockId=1
Food & Allied,59,OLYMPIC ,Olympic Industries,http://lankabd.com/dse/stock-market/OLYMPIC/olympic-industries/financial-statements?companyId=59&stockId=59
Textile,180,SAFKOSPINN,Safko Spinnings Mills Limited,http://lankabd.com/dse/stock-market/SAFKOSPINN/safko-spinnings-mills-limited/financial-statements?companyId=180&stockId=180
Mutual Funds,640,SEMLLECMF,SEML Lecture Equity Management Fund,http://lankabd.com/dse/stock-market/SEMLLECMF/seml-lecture-equity-management-fund/financial-statements?companyId=365&stockId=640
Insurance,203,ISLAMIINS,Islami Insurance Bangladesh Limited,http://lankabd.com/dse/stock-market/ISLAMIINS/islami-insurance-bangladesh-limited/financial-statements?companyId=203&stockId=203
Cement,5,LAFSURCEML,Lafarge Surma Cement Limited,http://lankabd.com/dse/stock-market/LAFSURCEML/lafarge-surma-cement-limited/financial-statements?companyId=5&stockId=5
Mutual Funds,651,CAPMBDBLMF,CAPM BDBL Mutual Fund 01,http://lankabd.com/dse/stock-market/CAPMBDBLMF/capm-bdbl-mutual-fund-01/financial-statements?companyId=374&stockId=651
Textile,290,SAIHAMCOT,Saiham Cotton Mills Limited,http://lankabd.com/dse/stock-market/SAIHAMCOT/saiham-cotton-mills-limited/financial-statements?companyId=303&stockId=290
Textile,172,MAKSONSPIN,Maksons Spinning Mills Limited,http://lankabd.com/dse/stock-market/MAKSONSPIN/maksons-spinning-mills-limited/financial-statements?companyId=172&stockId=172
Food & Allied,88,BANGAS,Bangas Limited,http://lankabd.com/dse/stock-market/BANGAS/bangas-limited/financial-statements?companyId=88&stockId=88
Fuel & Power,613,SPCL,Shahjibazar Power Co. Ltd.,http://lankabd.com/dse/stock-market/SPCL/shahjibazar-power-co.-ltd./financial-statements?companyId=337&stockId=613
Miscellaneous,123,BEXIMCO,BEXIMCO Limited,http://lankabd.com/dse/stock-market/BEXIMCO/beximco-limited/financial-statements?companyId=123&stockId=123
Engineering,46,BDAUTOCA,Bangladesh Autocars Limited,http://lankabd.com/dse/stock-market/BDAUTOCA/bangladesh-autocars-limited/financial-statements?companyId=46&stockId=46
Pharmaceuticals & Chemicals,135,BEACONPHAR,Beacon Pharmaceuticals Limited,http://lankabd.com/dse/stock-market/BEACONPHAR/beacon-pharmaceuticals-limited/financial-statements?companyId=135&stockId=135
Pharmaceuticals & Chemicals,143,LIBRAINFU,Libra Infusions Limited,http://lankabd.com/dse/stock-market/LIBRAINFU/libra-infusions-limited/financial-statements?companyId=143&stockId=143
Miscellaneous,625,NFML,National Feed Mill Limited,http://lankabd.com/dse/stock-market/NFML/national-feed-mill-limited/financial-statements?companyId=349&stockId=625
Tannery Industries,648,FORTUNE,Fortune Shoes Limited,http://lankabd.com/dse/stock-market/FORTUNE/fortune-shoes-limited/financial-statements?companyId=372&stockId=648
Mutual Funds,239,1STPRIMFMF,Prime Finance First Mutual Fund,http://lankabd.com/dse/stock-market/1STPRIMFMF/prime-finance-first-mutual-fund/financial-statements?companyId=239&stockId=239
Insurance,207,MERCINS,Mercantile Insurance Company Ltd.,http://lankabd.com/dse/stock-market/MERCINS/mercantile-insurance-company-ltd./financial-statements?companyId=207&stockId=207
Food & Allied,93,FUWANGFOOD,Fu Wang Foods Limited,http://lankabd.com/dse/stock-market/FUWANGFOOD/fu-wang-foods-limited/financial-statements?companyId=93&stockId=93
Textile,633,TOSRIFA,Tosrifa Industries Limited,http://lankabd.com/dse/stock-market/TOSRIFA/tosrifa-industries-limited/financial-statements?companyId=357&stockId=633
Miscellaneous,127,SAVAREFR,Savar Refractories Limited,http://lankabd.com/dse/stock-market/SAVAREFR/savar-refractories-limited/financial-statements?companyId=127&stockId=127
Jute,118,JUTESPINN,Jute Spinners Limited,http://lankabd.com/dse/stock-market/JUTESPINN/jute-spinners-limited/financial-statements?companyId=118&stockId=118
Textile,652,PDL,Pacific Denims Limited,http://lankabd.com/dse/stock-market/PDL/pacific-denims-limited/financial-statements?companyId=375&stockId=652
Insurance,188,AGRANINS,Agrani Insurance Company Ltd.,http://lankabd.com/dse/stock-market/AGRANINS/agrani-insurance-company-ltd./financial-statements?companyId=188&stockId=188
Textile,628,SHASHADNIM,Shasha Denims Limited,http://lankabd.com/dse/stock-market/SHASHADNIM/shasha-denims-limited/financial-statements?companyId=352&stockId=628
Miscellaneous,128,SINOBANGLA,Sinobangla Industries Limited,http://lankabd.com/dse/stock-market/SINOBANGLA/sinobangla-industries-limited/financial-statements?companyId=128&stockId=128
Insurance,192,CENTRALINS,Central Insurance Company Ltd.,http://lankabd.com/dse/stock-market/CENTRALINS/central-insurance-company-ltd./financial-statements?companyId=192&stockId=192
IT Sector,115,DAFODILCOM,Daffodil Computers Limited,http://lankabd.com/dse/stock-market/DAFODILCOM/daffodil-computers-limited/financial-statements?companyId=115&stockId=115
Financial Institutions,83,UNITEDFIN,United Finance Limited,http://lankabd.com/dse/stock-market/UNITEDFIN/united-finance-limited/financial-statements?companyId=83&stockId=83
Bank,29,NCCBANK,NCC Bank Limited,http://lankabd.com/dse/stock-market/NCCBANK/ncc-bank-limited/financial-statements?companyId=29&stockId=29
Engineering,561,BENGALWTL,Bengal Windsor Thermoplastics Limited,http://lankabd.com/dse/stock-market/BENGALWTL/bengal-windsor-thermoplastics-limited/financial-statements?companyId=319&stockId=561
Textile,181,SAIHAMTEX,Saiham Textile Mills Limited,http://lankabd.com/dse/stock-market/SAIHAMTEX/saiham-textile-mills-limited/financial-statements?companyId=181&stockId=181
Insurance,197,EASTERNINS,Eastern Insurance Company Ltd.,http://lankabd.com/dse/stock-market/EASTERNINS/eastern-insurance-company-ltd./financial-statements?companyId=197&stockId=197
Insurance,191,BGIC,Bangladesh General Insurance Company Ltd.,http://lankabd.com/dse/stock-market/BGIC/bangladesh-general-insurance-company-ltd.-/financial-statements?companyId=191&stockId=191
Pharmaceuticals & Chemicals,304,GHCL,Global Heavy Chemicals Limited,http://lankabd.com/dse/stock-market/GHCL/global-heavy-chemicals-limited/financial-statements?companyId=316&stockId=304
Bank,19,EBL,Eastern Bank Limited,http://lankabd.com/dse/stock-market/EBL/eastern-bank-limited/financial-statements?companyId=19&stockId=19
IT Sector,117,ISNLTD,Information Services Network Limited,http://lankabd.com/dse/stock-market/ISNLTD/information-services-network-limited/financial-statements?companyId=117&stockId=117
Textile,178,RAHIMTEXT,Rahim Textile Mills Limited,http://lankabd.com/dse/stock-market/RAHIMTEXT/rahim-textile-mills-limited/financial-statements?companyId=178&stockId=178
Fuel & Power,275,CVOPRL,CVO PETROCHEMICAL REFINERY LIMITED,http://lankabd.com/dse/stock-market/CVOPRL/cvo-petrochemical-refinery-limited/financial-statements?companyId=288&stockId=275
Bank,31,PREMIERBAN,The Premier Bank Limited,http://lankabd.com/dse/stock-market/PREMIERBAN/the-premier-bank-limited/financial-statements?companyId=31&stockId=31
Textile,587,PTL,Paramount Textile Limited,http://lankabd.com/dse/stock-market/PTL/paramount-textile-limited/financial-statements?companyId=328&stockId=587
