industry,stockID,ticker,name,link
Tannery Industries,156,APEXTANRY,Apex Tannery Limited,http://lankabd.com/dse/stock-market/APEXTANRY/apex-tannery-limited/financial-statements?companyId=156&stockId=156
Pharmaceuticals & Chemicals,131,ACI,ACI Limited,http://lankabd.com/dse/stock-market/ACI/aci-limited/financial-statements?companyId=131&stockId=131
Bank,41,UTTARABANK,Uttara Bank Limited,http://lankabd.com/dse/stock-market/UTTARABANK/uttara-bank-limited/financial-statements?companyId=41&stockId=41
Cement,2,ARAMITCEM ,Aramit Cement,http://lankabd.com/dse/stock-market/ARAMITCEM/aramit-cement/financial-statements?companyId=2&stockId=2
Mutual Funds,641,VAMLBDMF1,Vanguard AML BD Finance Mutual Fund One,http://lankabd.com/dse/stock-market/VAMLBDMF1/vanguard-aml-bd-finance-mutual-fund-one/financial-statements?companyId=366&stockId=641
Textile,646,ETL,Evince Textiles Limited,http://lankabd.com/dse/stock-market/ETL/evince-textiles-limited/financial-statements?companyId=370&stockId=646
Textile,185,TALLUSPIN,Tallu Spinning Spinning Mills Limited,http://lankabd.com/dse/stock-market/TALLUSPIN/tallu-spinning-spinning-mills-limited/financial-statements?companyId=185&stockId=185
Food & Allied,604,EMERALDOIL,Emerald Oil Industries Limited,http://lankabd.com/dse/stock-market/EMERALDOIL/emeraldoil/financial-statements?companyId=333&stockId=604
Pharmaceuticals & Chemicals,150,SQURPHARMA,Square Pharmaceuticals Limited,http://lankabd.com/dse/stock-market/SQURPHARMA/square-pharmaceuticals-limited/financial-statements?companyId=150&stockId=150
Engineering,48,BDTHAI,Bangladesh Thai Aluminium Limited,http://lankabd.com/dse/stock-market/BDTHAI/bangladesh-thai-aluminium-limited/financial-statements?companyId=48&stockId=48
Engineering,64,SINGERBD,Singer Bangladesh Limited,http://lankabd.com/dse/stock-market/SINGERBD/singer-bangladesh-limited/financial-statements?companyId=64&stockId=64
Insurance,198,EASTLAND ,Eastland Insurance Company Limited,http://lankabd.com/dse/stock-market/EASTLAND/eastland-insurance-company-limited/financial-statements?companyId=198&stockId=198
Textile,273,ZAHINTEX,Zahintex Industries Limited,http://lankabd.com/dse/stock-market/ZAHINTEX/zahintex-industries-limited/financial-statements?companyId=286&stockId=273
Tannery Industries,157,BATASHOE,Bata Shoe Limited,http://lankabd.com/dse/stock-market/BATASHOE/bata-shoe-limited/financial-statements?companyId=157&stockId=157
Financial Institutions,69,FASFIN,FAS Finance & Investment Limited,http://lankabd.com/dse/stock-market/FASFIN/fas-finance-&-investment-limited/financial-statements?companyId=69&stockId=69
Food & Allied,100,ZEALBANGLA,Zeal Bangla Sugar Mills Limited,http://lankabd.com/dse/stock-market/ZEALBANGLA/zeal-bangla-sugar-mills-limited/financial-statements?companyId=100&stockId=100
Insurance,225,RUPALIINS,Rupali Insurance Company Limited,http://lankabd.com/dse/stock-market/RUPALIINS/rupali-insurance-company-limited/financial-statements?companyId=225&stockId=225
Insurance,213,PHENIXINS,Phoenix Insurance Company Ltd.,http://lankabd.com/dse/stock-market/PHENIXINS/phoenix-insurance-company-ltd./financial-statements?companyId=213&stockId=213
Financial Institutions,65,BAYLEASING,Bay Leasing & Investment Limited,http://lankabd.com/dse/stock-market/BAYLEASING/bay-leasing-&-investment-limited/financial-statements?companyId=65&stockId=65
Textile,179,RNSPIN,R.N. Spinning Mills Limited,http://lankabd.com/dse/stock-market/RNSPIN/r.n.-spinning-mills-limited/financial-statements?companyId=179&stockId=179
Insurance,193,CITYGENINS,City General Insurance Company Limited,http://lankabd.com/dse/stock-market/CITYGENINS/city-general-insurance-company-limited/financial-statements?companyId=193&stockId=193
Engineering,620,RSRMSTEEL,Ratanpur Steel Re-Rolling Mills Limited,http://lankabd.com/dse/stock-market/RSRMSTEEL/rsrmsteel/financial-statements?companyId=344&stockId=620
Engineering,42,AFTABAUTO,Aftab Automobiles Limited,http://lankabd.com/dse/stock-market/AFTABAUTO/aftab-automobiles-limited/financial-statements?companyId=42&stockId=42
Food & Allied,274,RDFOOD,Rangpur Dairy & Food Products Limited,http://lankabd.com/dse/stock-market/RDFOOD/rangpur-dairy-&-food-products-limited/financial-statements?companyId=276&stockId=274
Bank,22,ICBIBANK,ICB Islamic Bank Limited,http://lankabd.com/dse/stock-market/ICBIBANK/icb-islamic-bank-limited/financial-statements?companyId=22&stockId=22
Engineering,634,OAL,Olympic Accessories Limited,http://lankabd.com/dse/stock-market/OAL/olympic-accessories-limited/financial-statements?companyId=358&stockId=634
Pharmaceuticals & Chemicals,133,ACTIVEFINE,Active Fine Chemicals Limited,http://lankabd.com/dse/stock-market/ACTIVEFINE/active-fine-chemicals-limited/financial-statements?companyId=133&stockId=133
Mutual Funds,269,SEBL1STMF,Southeast Bank 1st Mutual Fund,http://lankabd.com/dse/stock-market/SEBL1STMF/southeast-bank-1st-mutual-fund/financial-statements?companyId=269&stockId=269
Insurance,229,STANDARINS,Standard Insurance Limited,http://lankabd.com/dse/stock-market/STANDARINS/standard-insurance-limited/financial-statements?companyId=229&stockId=229
Insurance,201,GLOBALINS,Global Insurance Ltd.,http://lankabd.com/dse/stock-market/GLOBALINS/global-insurance-ltd./financial-statements?companyId=201&stockId=201
Food & Allied,99,SHYAMPSUG,Shyampur Sugar Mills Limited,http://lankabd.com/dse/stock-market/SHYAMPSUG/shyampur-sugar-mills-limited/financial-statements?companyId=99&stockId=99
